Booking ID,Status,Activity / Add-On,First Name,Last Name,Tickets / Items,Purchase Date,Activity Date,Activity Time,Promotion Code,Voucher Code,Bookings,Guests,List Price,Discount,Customer Fees,Total,Payable To You,Your Net Revenue,Notes,Payout Date,Payout Transaction ID
B-AGG3N5K,fulfilled,Color bomb,XXXXX,XXXXX,2x (1) Color Bomb,2023-01-01,2023-01-03,4:00pm,,,0,0,$17.00,$0.00,$2.22,$19.22,$17.76,$16.56,,2023-01-05,100536046811065
B-AGG3N5K,fulfilled,Crate of Glass,XXXXX,XXXXX,1x 1 crate,2023-01-01,2023-01-03,4:00pm,,,1,0,$10.00,$0.00,$1.30,$11.30,$10.44,$9.74,,2023-01-05,100536046811065
B-DPP9DD6,confirmed,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-01-03,2023-01-03,8:00pm,,,0,0,-$30.00,$0.00,-$3.90,-$33.90,-$31.33,-$29.23,,,
B-NZZ7DG5,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-01-03,2023-01-04,5:45pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.65,$14.60,,2023-01-06,100536046845280
B-MEEXVM8,fulfilled,Large Item,XXXXX,XXXXX,1x Large Item,2023-01-06,2023-01-06,6:30pm,,,0,0,-$15.00,$0.00,-$1.95,-$16.95,-$15.68,-$14.63,,,
B-MEEXVM8,fulfilled,Crate of Glass,XXXXX,XXXXX,1x 1 crate,2023-01-06,2023-01-06,6:30pm,,,0,0,-$10.00,$0.00,-$1.30,-$11.30,-$10.45,-$9.75,,,
B-77PWA5V,fulfilled,Crate of Glass,XXXXX,XXXXX,2x 1 crate,2023-01-06,2023-01-06,9:00pm,,,0,0,$20.00,$0.00,$2.60,$22.60,$20.90,$19.50,,2023-01-11,100536047053433
B-77PWA5V,fulfilled,Crate of Glass,XXXXX,XXXXX,2x 1 crate,2023-01-06,2023-01-06,9:00pm,,,0,0,-$20.00,$0.00,-$2.60,-$22.60,-$20.90,-$19.50,,,
B-77PWA5V,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-01-06,2023-01-06,9:00pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.67,$14.62,,2023-01-11,100536047053433
B-RA7KVEE,fulfilled,Large Item,XXXXX,XXXXX,2x Large Item,2023-01-05,2023-01-06,8:00pm,,,1,0,$30.00,$0.00,$3.90,$33.90,$31.36,$29.26,,2023-01-10,100536046987574
B-P55AEMK,fulfilled,Custom Message,XXXXX,XXXXX,1x Adult,2023-01-04,2023-01-06,5:30pm,,,1,0,$20.00,$0.00,$2.60,$22.60,$20.92,$19.52,,2023-01-09,100536046922878
B-GJJMN7G,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-01-02,2023-01-06,4:30pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.70,$14.65,,2023-01-05,100536046811065
B-GJJMN7G,fulfilled,Color bomb,XXXXX,XXXXX,2x (1) Color Bomb,2023-01-02,2023-01-06,4:30pm,,,0,0,$17.00,$0.00,$2.22,$19.22,$17.80,$16.60,,2023-01-05,100536046811065
B-GJJMN7G,fulfilled,Custom Message,XXXXX,XXXXX,1x Adult,2023-01-02,2023-01-06,4:30pm,,,0,0,$20.00,$0.00,$2.60,$22.60,$20.93,$19.53,,2023-01-05,100536046811065
B-V4K9DN4,fulfilled,Video,XXXXX,XXXXX,Refund,2023-01-18,2023-01-09,8:00pm,,,0,0,-$5.22,$0.00,-$0.68,-$5.90,-$5.54,-$5.17,,2023-01-23,100536047959197
B-V4K9DN4,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-01-09,2023-01-09,8:00pm,,,0,0,$15.00,$0.00,$1.95,$16.95,$15.55,$14.50,,2023-01-12,100536047086996
B-MEGX5EN,fulfilled,Color bomb,XXXXX,XXXXX,2x (1) Color Bomb,2023-01-11,2023-01-11,7:30pm,,,0,0,$17.00,$0.00,$2.22,$19.22,$17.78,$16.58,,2023-01-17,100536047722758
B-MEGX5EN,fulfilled,Water,XXXXX,XXXXX,2x Water,2023-01-11,2023-01-11,7:30pm,,,0,0,$2.00,$0.00,$0.26,$2.26,$2.10,$1.96,,2023-01-17,100536047722758
B-MEGX5EN,fulfilled,Large Item,XXXXX,XXXXX,2x Large Item,2023-01-11,2023-01-11,7:30pm,,,1,0,$30.00,$0.00,$3.90,$33.90,$31.36,$29.26,,2023-01-17,100536047722758
B-KYGGE4V,fulfilled,Crate of Glass,XXXXX,XXXXX,2x 1 crate,2023-01-13,2023-01-13,7:00pm,,,0,0,$20.00,$0.00,$2.60,$22.60,$20.94,$19.54,,2023-01-19,100536047862542
B-KYGGE4V,fulfilled,Large Item,XXXXX,XXXXX,3x Large Item,2023-01-13,2023-01-13,7:00pm,,,0,0,$45.00,$0.00,$5.85,$50.85,$47.13,$43.98,,2023-01-19,100536047862542
B-67G8YKR,fulfilled,Large Item,XXXXX,XXXXX,1x Large Item,2023-01-13,2023-01-13,10:00pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.65,$14.60,,2023-01-19,100536047862542
B-77PY5AM,fulfilled,Water,XXXXX,XXXXX,2x Water,2023-01-06,2023-01-13,8:00pm,,,1,0,$2.00,$0.00,$0.26,$2.26,$2.10,$1.96,,2023-01-11,100536047053433
B-77PY5AM,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-01-06,2023-01-13,8:00pm,,,0,0,$15.00,$0.00,$1.95,$16.95,$15.68,$14.63,,2023-01-11,100536047053433
B-77PY5AM,fulfilled,FUBAR Booster,XXXXX,XXXXX,1x BOOSTER,2023-01-06,2023-01-13,8:00pm,,,0,0,$30.00,$0.00,$3.90,$33.90,$31.35,$29.25,,2023-01-11,100536047053433
B-RA77X99,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-01-09,2023-01-14,3:00pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.66,$14.61,,2023-01-12,100536047086996
B-RA77X99,fulfilled,Crate of Glass,XXXXX,XXXXX,1x 1 crate,2023-01-09,2023-01-14,3:00pm,,,0,0,$10.00,$0.00,$1.30,$11.30,$10.44,$9.74,,2023-01-12,100536047086996
B-KYG9ENV,fulfilled,Video,XXXXX,XXXXX,1x Video,2023-01-14,2023-01-14,12:00pm,,,1,0,$15.00,$0.00,$1.95,$16.95,$15.65,$14.60,,2023-01-19,100536047863502
B-MEGXM4J,fulfilled,Water,XXXXX,XXXXX,2x Water,2023-01-12,2023-01-14,8:00pm,,,0,0,$2.00,$0.00,$0.26,$2.26,$2.10,$1.96,,2023-01-18,100536047801626
