Booking ID,Status,Activity / Add-On,First Name,Last Name,Tickets / Items,Purchase Date,Activity Date,Activity Time,Promotion Code,Voucher Code,Bookings,Guests,List Price,Discount,Customer Fees,Total,Payable To You,Your Net Revenue,Notes,Payout Date,Payout Transaction ID
B-WNNW8VE,fulfilled,Couples,XXXXX,XXXXX,Refund,2023-01-18,2022-12-26,16:30,,,0,0,-$13.28,$0.00,-$1.72,-$15.00,-$13.92,-$13.00,,2023-01-23,100536047959197
B-4RRNNWN,fulfilled,Couples,XXXXX,XXXXX,2x Adult,2023-01-02,2023-01-02,18:45,,,0,0,$55.76,$0.00,$7.24,$63.00,$58.20,$54.30,,,
B-ZGGKYJ4,fulfilled,Hammered,XXXXX,XXXXX,1x Adult,2023-01-01,2023-01-02,20:15,,,1,1,$30.97,$0.00,$4.03,$35.00,$32.18,$30.01,,2023-01-05,100536046811065
B-ZGGKYJ4,fulfilled,Hammered,XXXXX,XXXXX,1x Adult,2023-01-02,2023-01-02,20:15,,,0,0,$39.03,$0.00,$5.07,$44.10,$40.70,$37.97,,,
B-9XZRM64,fulfilled,Couples,XXXXX,XXXXX,2x Adult,2023-01-02,2023-01-02,17:45,,,0,0,$55.76,$0.00,$7.24,$63.00,$58.16,$54.26,,2023-01-05,100536046811065
B-V44P4X4,fulfilled,Couples,XXXXX,XXXXX,1x Adult,2023-01-02,2023-01-02,16:00,,,0,0,$77.88,$0.00,$10.12,$88.00,$81.42,$75.97,,,
B-AGG3N5K,fulfilled,Couples,XXXXX,XXXXX,2x Adult,2023-01-03,2023-01-03,16:00,,,0,0,$35.40,$0.00,$4.60,$40.00,$36.82,$34.34,,2023-01-06,100536046845280
B-AGG3N5K,fulfilled,Couples,XXXXX,XXXXX,2x Adult,2023-01-01,2023-01-03,16:00,,,0,0,$44.24,$0.00,$5.76,$50.00,$46.21,$43.11,,2023-01-05,100536046811065
B-DPP9DD6,confirmed,Couples,XXXXX,XXXXX,2x Adult,2023-01-03,2023-01-03,20:00,,,0,0,$30.00,$0.00,$3.90,$33.90,$31.33,$29.23,,,
B-WNND97W,fulfilled,Smashed *Most Popular*,XXXXX,XXXXX,6x Adult,2023-01-04,2023-01-04,20:30,,,0,0,$117.30,$0.00,$15.24,$132.54,$122.70,$114.48,,2023-01-09,100536046922878
B-NZZ7DG5,fulfilled,Couples,XXXXX,XXXXX,2x Adult,2023-01-03,2023-01-04,17:45,,,0,0,$44.24,$0.00,$5.76,$50.00,$46.17,$43.07,,2023-01-06,100536046845280
